BedrijfId,Naam,BTW,Email,Adres,Telofoon
0,1,Browsebug,87-076-9983,cwycliff0@creativecommons.org,4 Charing Cross Place,112-968-1694
1,2,Tagcat,11-600-7808,gfivey1@youku.com,92 Hallows Trail,993-390-0114
2,3,Devshare,29-883-0208,jthornton2@miitbeian.gov.cn,535 Merrick Plaza,428-430-2592
3,4,Topiczoom,15-760-6867,powain3@theguardian.com,53002 Anzinger Way,905-315-4223
4,5,Agivu,03-009-2880,rochterlony4@opensource.org,94734 Tomscot Hill,499-799-8648
5,6,Tazz,76-206-8779,lgiorgini5@prlog.org,73 Monument Park,664-724-1506
6,7,Divape,29-471-9174,abazire6@cyberchimps.com,87643 Leroy Terrace,308-981-6230
7,8,Voonyx,22-059-4053,kbrendel7@mediafire.com,72 Crescent Oaks Avenue,982-785-2997
8,9,LiveZ,10-668-8679,kattride8@dell.com,26 Carey Road,945-767-4057
9,10,Livepath,62-271-4783,hglidder9@chronoengine.com,09 Golf View Plaza,159-650-0462
